Player,index,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,MVP,DPOY,All-NBA,All-Defensive,Sixth Man,ROY,Scoring Champ,AST Champ,TRB Champ,STL Champ,BLK Champ,NBA Champ,Hall of Fame
Isaac Austin,14,Career,,,NBA,,432,166,19.3,3.0,6.7,.446,0.0,0.1,.176,3.0,6.6,.451,.448,1.6,2.4,.670,1.4,3.3,4.7,1.2,0.5,0.5,1.6,2.2,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Austin,2,Career,,,TOT,,45.0,,16.7,2.5,6.7,0.375,0.0,0.3,0.0,2.5,6.4,0.39,0.375,2.5,3.5,0.731,,,1.6,1.4,,,1.4,2.7,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ken Austin,1,Career,,,NBA,,7,0,4.0,0.9,1.9,0.462,0.0,0.0,,0.9,1.9,0.462,0.462,0.0,0.0,,0.3,0.1,0.4,0.1,0.1,0.1,0.4,1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deni Avdija,1,Career,,,NBA,,47,25,23.4,2.5,6.0,0.418,1.0,3.3,0.32,1.4,2.7,0.535,0.505,0.5,0.8,0.632,0.4,4.5,4.9,1.2,0.6,0.2,0.6,2.6,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Avent,12,Career,,,NBA,,352,156,19.1,2.3,5.7,.403,0.0,0.0,.000,2.3,5.7,.404,.403,0.9,1.4,.686,1.6,2.9,4.5,0.8,0.5,0.6,1.2,2.3,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird Averitt,7,Career,,,TOT,,366.0,,22.3,4.8,11.8,0.405,0.2,1.0,0.249,4.6,11.1,0.414,0.41200000000000003,2.4,3.3,0.743,0.5,1.3,1.9,2.9,0.9,0.2,2.5,2.3,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Avery,3,Career,,,NBA,,142,1,8.5,1.0,2.9,0.33,0.3,1.1,0.255,0.7,1.8,0.376,0.37799999999999995,0.5,0.6,0.7140000000000001,0.1,0.5,0.7,1.4,0.2,0.0,0.7,0.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Awtrey,16,Career,,,NBA,,733.0,3.0,19.3,1.9,4.1,0.45899999999999996,0.0,0.0,,1.9,4.1,0.45899999999999996,0.45899999999999996,1.0,1.6,0.652,1.3,2.9,4.6,2.0,0.4,0.3,1.1,2.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustavo Ayón,5,Career,,,NBA,,135.0,41.0,16.7,2.1,3.9,0.536,0.0,0.0,0.0,2.1,3.9,0.537,0.536,0.5,1.0,0.504,1.4,3.0,4.4,1.3,0.7,0.5,0.9,2.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Ayres,7,Career,,,NBA,,237,15,9.8,1.2,2.2,.553,0.0,0.0,.400,1.2,2.2,.554,.555,0.5,0.6,.776,0.8,1.8,2.7,0.4,0.2,0.3,0.6,1.5,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deandre Ayton,3,Career,,,NBA,,160,153,31.2,7.2,12.3,0.581,0.0,0.2,0.19399999999999998,7.1,12.1,0.589,0.583,1.9,2.6,0.754,3.4,7.4,10.7,1.7,0.7,1.2,1.8,3.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelenna Azubuike,6,Career,,,NBA,,208,84,24.2,3.9,8.4,.459,1.0,2.5,.409,2.8,5.9,.480,.519,1.8,2.3,.770,1.2,2.8,4.0,1.1,0.6,0.5,1.0,2.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udoka Azubuike,1,Career,,,NBA,,12,0,4.1,0.3,0.6,0.5710000000000001,0.0,0.0,,0.3,0.6,0.5710000000000001,0.5710000000000001,0.3,0.5,0.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
